person_id,inscribed_name,source_identifier
P0147,NYĀNAPONIKA,F0157
P0147,Siegmund Feniger,F0157
P0148,Nyanatiloka,F0158
P0149,Nyanamalito,F0158
P0150,Nyanaponiko,F0158
P0151,NYĀNAPONIKA,F0160
P0151,Siegmund Feniger,F0160
P0152,NYĀNAPONIKA,F0161
P0152,Siegmund Feniger,F0161
P0153,NYĀNAPONIKA,F0162
P0153,Siegmund Feniger,F0162
P0154,Siegmund Feniger,F0164
P0155,Nyānaponika,F0165
P0156,Nyanaponika Mahathera,F0167
P0157,Kheminda Mahathera,F0168
P0158,Nyanaponika Mahathera,F0169
P0159,Nyanaponika Mahathera,F0170
P0160,Nyanaponika Mahathera,F0171
P0161,Nyanaponika Mahathera,F0248
P0162,Richard Abeyasekera,F0173
P0163,RICHARD ABEYASEKERA,F0174
P0164,VIMALO,F0176
P0164,Franz. Joseph Bauer,F0176
P0165,KONDAÑÑO,F0176
P0165,Bartel Bauer,F0176
P0166,VIMALO,F0178
P0166,Franz. Joseph Bauer,F0178
P0167,KONDAÑÑO,F0178
P0167,Bartel Bauer,F0178
P0168,VIMALO,F0179
P0168,Franz. Joseph Bauer,F0179
P0169,KONDAÑÑO,F0179
P0169,Bartel Bauer,F0179
P0170,VAPPO Thero,F0180
P0170,Ludwig Stolz,F0180
P0171,Georg,F0180
P0172,,F0180
P0173,VAPPO Thero,F0181
P0173,Ludwig Stolz,F0181
P0174,Georg,F0181
P0175,VAPPO Thero,F0182
P0175,Ludwig Stolz,F0182
P0176,VAPPO Thero,F0183
P0176,Ludwig Stolz,F0183
P0177,Mr. Okada,F0183
P0178,Inouye,F0183
P0179,Mr. Toukamoto,F0183
P0180,Unbekannt,F0184
P0181,BHIKKU ÑĀṆAMOLI,F0185
P0181,Osbert Moore,F0185
P0182,OSKAR SCHLOß,F0194
P0183,Wladyslaw Misiewicz,F0195
P0184,Mia edzino,F0198
P0185,kaj min filo,F0198
P0186,Kamil Sedláček,F0199
P0187,Aldrich Novosad,F0200
P0188,Pavel Košík,F0203
P0189,Shanti Bhadra,F0208
P0190,Kheminda Thera,F0209
P0191,Soma Thera,F0209
P0192,Bhikku Vinita,F0209
P0193,Venerable Madihe Paññasiha Maha Nayaka Thera of Vajirārāma,F0215
P0194,Venerable Sobhita,F0216
P0195,Prof. SEO Kyung BO,F0228
P0195,徐京保,F0228
P0196,Prof. SEO Kyung BO,F0229
P0196,徐京保,F0229
P0197,Prof. SEO Kyung BO,F0230
P0197,徐京保,F0230
P0198,Taungpulu-tawya Kabā-Aye Sayadaw,F0232
P0199,Maungg Maungg Hwin,F0237
P0200,U Kyaw Hla,F0237
P0201,Lama Anagarika Govina,F0237
P0201,Ernst Lothar Hoffmann,F0237
P0202,Nyānatiloka,F0237
P0202,Anton W.F. Gueth,F0237
P0203,Adinavaysa Thera,F0237
P0204,Nyānaloka,F0238
P0204,"Rajasinghe, Singh",F0238
P0205,Nyānatiloka,F0238
P0205,Anton W. F. Gueth,F0238
P0206,Nyānasumedha,F0238
P0207,Nyānaponika,F0238
P0207,Siegmund Feniger,F0238
P0208,Nyānatiloka,F0239
P0208,Anton W. F. Gueth,F0239
P0209,ANURUDDHA,F0240
P0209,K. HEMARATNE,F0240
P0210,NYĀṆĀLOKA,F0240
P0210,Thierry VALLOI,F0240
P0211,MAL DHAMMAJIVA,F0240
P0211,KIU AH WANG,F0240
P0212,VAPPA,F0240
P0212,Pieter PRINS,F0240
P0213,DHAMMASANTA,F0240
P0213,Manfred FATH,F0240
P0214,NYĀṆASANTA,F0240
P0214,Dietfried REGULA,F0240
P0215,PIYARATANA,F0240
P0215,A.K. JAYATILLEKE,F0240
P0216,DHAMMARATANA,F0240
P0216,Thomas Schreiber,F0240
P0217,NYĀṆASUMANA,F0240
P0217,Olivier MAILLEBUAU,F0240
P0218,NYĀNAPONIKA,F0241
P0218,Siegmund Feniger,F0241
P0219,VAPPO,F0241
P0219,Ludwig Stolz,F0241
P0220,Nyānakhetto,F0241
P0220,Peter Schoenfeldt,F0241
P0220,Swami Gauribala,F0241
P0220,NYANAKHETTO,F0241
P0221,NYANAPIYA,F0241
P0221,Julius Pistor,F0241
P0222,NYANAMALITO,F0241
P0222,Malte Schoenfeldt,F0241
P0223,Dr. Wolfgang Schumacher,F0242
P0224,Dr. Wolfgang Schumacher,F0243
P0225,Dr. med. Wolfgang Schumacher,F0244
P0226,Ilse,F0244
P0227,Dr. Wolf gang Schumacher,F0245
P0228,Ludwig STOLZ,F0246
P0228,VAPPO,F0246
P0229,test person shown's inscribed name,test identifier
